degree,window,bandwidth,avg_return,num_stocks
1.0,20.0,0.5,505.2776360358354,86.0
1.0,20.0,0.6,485.23189407753114,86.0
1.0,20.0,0.7,484.5167008576961,86.0
1.0,20.0,0.7999999999999999,522.4129589559963,86.0
1.0,20.0,0.8999999999999999,520.1209537872146,86.0
1.0,20.0,1.0,484.8452539045886,86.0
1.0,20.0,1.1,493.42192968078007,86.0
1.0,20.0,1.1999999999999995,504.40716731804895,86.0
1.0,20.0,1.2999999999999998,510.1941722780903,86.0
1.0,20.0,1.4,510.82474914378383,86.0
1.0,20.0,1.4999999999999998,500.9900919937049,86.0
1.0,20.0,1.5999999999999996,489.91974391973207,86.0
1.0,20.0,1.6999999999999995,500.6453222862736,86.0
1.0,20.0,1.7999999999999998,476.6323449884056,86.0
1.0,20.0,1.8999999999999997,443.9750431125638,86.0
1.0,20.0,1.9999999999999996,455.9181108221025,86.0
1.0,20.0,2.0999999999999996,439.6695213662642,86.0
1.0,20.0,2.1999999999999997,450.52640459139104,86.0
1.0,20.0,2.3,478.3098706707347,86.0
1.0,20.0,2.3999999999999995,462.10204216057593,86.0
1.0,20.0,2.4999999999999996,428.79312458646143,86.0
1.0,20.0,2.5999999999999996,435.6483471743056,86.0
1.0,20.0,2.6999999999999993,443.2055326854925,86.0
1.0,20.0,2.7999999999999994,451.39023177767984,86.0
1.0,20.0,2.8999999999999995,484.64649228841137,86.0
1.0,20.0,2.9999999999999996,473.7025700211569,86.0
1.0,20.0,3.0999999999999996,498.28115977392906,86.0
1.0,20.0,3.1999999999999993,496.5904918030556,86.0
1.0,20.0,3.2999999999999994,449.1249326677127,86.0
1.0,20.0,3.3999999999999995,485.5011425179317,86.0
1.0,20.0,3.499999999999999,502.1447325957971,86.0
1.0,20.0,3.599999999999999,494.734590560467,86.0
1.0,20.0,3.6999999999999993,524.7022873795224,86.0
1.0,20.0,3.7999999999999994,519.5101770374835,86.0
1.0,20.0,3.899999999999999,536.2460322267176,86.0
1.0,20.0,3.999999999999999,542.8235103704325,86.0
1.0,30.0,0.5,385.767259720752,86.0
1.0,30.0,0.6,386.605615847575,86.0
