degree,window,bandwidth,avg_return,num_stocks,min_return,max_return,median_return,std_return,directory
1.0,20.0,0.5,505.2776360358354,86.0,-59.71188395890855,2608.2115776790365,332.6738871471136,510.0717065548944,Analysis_Data/degree_1/window_20/bandwidth_0.5
1.0,20.0,0.6,485.23189407753114,86.0,-55.72986572955758,1938.4884646229823,299.0253477102383,460.1916289607732,Analysis_Data/degree_1/window_20/bandwidth_0.6
1.0,20.0,0.7,484.5167008576961,86.0,-61.59065429511132,1752.8962626004486,317.2711108513662,441.7328133877926,Analysis_Data/degree_1/window_20/bandwidth_0.7
1.0,20.0,0.7999999999999999,522.4129589559963,86.0,-56.23000631593853,3762.488703272112,325.8934064911492,575.8903954959211,Analysis_Data/degree_1/window_20/bandwidth_0.8
1.0,20.0,0.8999999999999999,520.1209537872146,86.0,-62.48249147565807,2988.239418958114,366.2674367878574,556.1049491141163,Analysis_Data/degree_1/window_20/bandwidth_0.9
1.0,20.0,1.0,484.8452539045886,86.0,-69.74486628171694,2424.397012475201,324.0217321256814,506.2593219040029,Analysis_Data/degree_1/window_20/bandwidth_1.0
1.0,20.0,1.1,493.42192968078007,86.0,-60.57661642302542,3888.832038656269,303.3851285101457,630.1560441832154,Analysis_Data/degree_1/window_20/bandwidth_1.1
1.0,20.0,1.1999999999999995,504.40716731804895,86.0,-56.098483394779365,3323.3730696326065,304.83407985990675,600.0740219823714,Analysis_Data/degree_1/window_20/bandwidth_1.2
1.0,20.0,1.2999999999999998,510.1941722780903,86.0,-54.82461371408063,3197.7071594230433,323.79912117572394,610.1313509012266,Analysis_Data/degree_1/window_20/bandwidth_1.3
1.0,20.0,1.4,510.82474914378383,86.0,-54.52593833376965,4271.848231032464,306.0178413218474,669.8125599761336,Analysis_Data/degree_1/window_20/bandwidth_1.4
1.0,20.0,1.4999999999999998,500.9900919937049,86.0,-54.60393997595596,4268.141366960339,296.0987799405193,675.6908719304635,Analysis_Data/degree_1/window_20/bandwidth_1.5
1.0,20.0,1.5999999999999996,489.91974391973207,86.0,-47.29601509947257,4353.2557998333705,276.1091345776314,636.1562910696762,Analysis_Data/degree_1/window_20/bandwidth_1.6
1.0,20.0,1.6999999999999995,500.6453222862736,86.0,-45.77372264348367,4613.219256027642,279.0021507166425,704.8277009718778,Analysis_Data/degree_1/window_20/bandwidth_1.7
1.0,20.0,1.7999999999999998,476.6323449884056,86.0,-46.75163821219389,4336.165884519371,325.48287159942186,641.8815178211863,Analysis_Data/degree_1/window_20/bandwidth_1.8
1.0,20.0,1.8999999999999997,443.9750431125638,86.0,-47.31399739023993,3323.4477665940567,302.1874660240033,512.8351460850731,Analysis_Data/degree_1/window_20/bandwidth_1.9
1.0,20.0,1.9999999999999996,455.9181108221025,86.0,-45.22783563767841,4475.902674717222,310.2601834506273,599.2334658490528,Analysis_Data/degree_1/window_20/bandwidth_2.0
1.0,20.0,2.0999999999999996,439.6695213662642,86.0,-45.18478161763388,3113.926402496834,290.68559850337647,504.1951162837563,Analysis_Data/degree_1/window_20/bandwidth_2.1
1.0,20.0,2.1999999999999997,450.52640459139104,86.0,-43.87388450556708,2429.743528929458,304.4289038513928,482.94118692868824,Analysis_Data/degree_1/window_20/bandwidth_2.2
1.0,20.0,2.3,478.3098706707347,86.0,-43.899385268293145,4482.487342514145,318.5136257389662,629.4153446230357,Analysis_Data/degree_1/window_20/bandwidth_2.3
1.0,20.0,2.3999999999999995,462.10204216057593,86.0,-55.50686680341773,4147.993904300732,302.2906165305225,574.1593008300098,Analysis_Data/degree_1/window_20/bandwidth_2.4
1.0,20.0,2.4999999999999996,428.79312458646143,86.0,-73.3394385197126,3652.3869031466297,268.81654587441835,525.9269290629076,Analysis_Data/degree_1/window_20/bandwidth_2.5
1.0,20.0,2.5999999999999996,435.6483471743056,86.0,-73.47770033709476,2952.1602800294613,282.0676134832175,498.45435185461093,Analysis_Data/degree_1/window_20/bandwidth_2.6
1.0,20.0,2.6999999999999993,443.2055326854925,86.0,-80.71936829502877,4789.396468856253,249.24352250783028,612.2727130218477,Analysis_Data/degree_1/window_20/bandwidth_2.7
1.0,20.0,2.7999999999999994,451.39023177767984,86.0,-80.63630352571369,4655.835465562363,271.6056697122173,618.5053620050886,Analysis_Data/degree_1/window_20/bandwidth_2.8
1.0,20.0,2.8999999999999995,484.64649228841137,86.0,-83.78500708521598,7443.441884161363,274.8748270581709,851.7573497431637,Analysis_Data/degree_1/window_20/bandwidth_2.9
1.0,20.0,2.9999999999999996,473.7025700211569,86.0,-80.3281027726548,6400.1320534484985,234.73776656229523,766.2753338742431,Analysis_Data/degree_1/window_20/bandwidth_3.0
1.0,20.0,3.0999999999999996,498.28115977392906,86.0,-78.94178382133606,7722.1005540383885,264.2962208791106,889.3878346343757,Analysis_Data/degree_1/window_20/bandwidth_3.1
1.0,20.0,3.1999999999999993,496.5904918030556,86.0,-70.70267262152728,9349.078988485244,270.28037409480106,1030.437909059377,Analysis_Data/degree_1/window_20/bandwidth_3.2
1.0,20.0,3.2999999999999994,449.1249326677127,86.0,-64.3930159612278,3765.093978188307,278.19420702332843,534.6113836636254,Analysis_Data/degree_1/window_20/bandwidth_3.3
1.0,20.0,3.3999999999999995,485.5011425179317,86.0,-58.53919151516103,3041.8676460237343,324.81218548074247,573.9271829819702,Analysis_Data/degree_1/window_20/bandwidth_3.4
1.0,20.0,3.499999999999999,502.1447325957971,86.0,-44.76533765337432,3312.8710459815443,285.2294890472839,615.1265650943536,Analysis_Data/degree_1/window_20/bandwidth_3.5
1.0,20.0,3.599999999999999,494.734590560467,86.0,-50.9135449802919,2357.155091612116,297.190242037355,555.997756288107,Analysis_Data/degree_1/window_20/bandwidth_3.6
1.0,20.0,3.6999999999999993,524.7022873795224,86.0,-39.95432159944834,3778.727115518436,296.40480516375334,639.6715342268379,Analysis_Data/degree_1/window_20/bandwidth_3.7
1.0,20.0,3.7999999999999994,519.5101770374835,86.0,-20.68979436545089,2375.3717233053612,304.23123246114875,564.5474731921105,Analysis_Data/degree_1/window_20/bandwidth_3.8
1.0,20.0,3.899999999999999,536.2460322267176,86.0,-33.41834572385392,3064.0509241002765,288.5382404824213,606.171117971098,Analysis_Data/degree_1/window_20/bandwidth_3.9
1.0,20.0,3.999999999999999,542.8235103704325,86.0,-35.74728091952861,4913.461303470157,275.95446660707955,724.3461468800296,Analysis_Data/degree_1/window_20/bandwidth_4.0
1.0,30.0,0.5,385.767259720752,86.0,-63.20379092466412,1745.7167519564423,200.7775686269181,431.2046141714292,Analysis_Data/degree_1/window_30/bandwidth_0.5
1.0,30.0,0.6,386.605615847575,86.0,-60.57386720590259,1974.574803630623,193.06293340744605,428.76895897087235,Analysis_Data/degree_1/window_30/bandwidth_0.6
1.0,30.0,0.7,385.46780188474895,86.0,-58.04791080648136,1921.7911400276307,203.12992883282615,439.9461915803639,Analysis_Data/degree_1/window_30/bandwidth_0.7
1.0,30.0,0.7999999999999999,365.6490430936359,86.0,-56.948422961069134,1672.6567241920898,217.4796425103964,418.6635727473581,Analysis_Data/degree_1/window_30/bandwidth_0.8
1.0,30.0,0.8999999999999999,361.250637841555,86.0,-49.29943079408271,1948.027542894086,209.40129227116415,422.5810592807608,Analysis_Data/degree_1/window_30/bandwidth_0.9
1.0,30.0,1.0,361.2755752855909,86.0,-59.829594867192256,1924.83377123605,223.0246201615345,412.5656190940737,Analysis_Data/degree_1/window_30/bandwidth_1.0
1.0,30.0,1.1,366.224830826172,86.0,-54.41685117097992,2108.9660375663025,242.6790177985271,415.6002526337626,Analysis_Data/degree_1/window_30/bandwidth_1.1
1.0,30.0,1.1999999999999995,385.4599867430925,86.0,-58.993892592155206,2615.366510920273,228.93732714523009,468.31518029127034,Analysis_Data/degree_1/window_30/bandwidth_1.2
1.0,30.0,1.2999999999999998,378.90540653391986,86.0,-63.685311272456744,2585.4040821594617,225.2889963509327,457.1996052947639,Analysis_Data/degree_1/window_30/bandwidth_1.3
1.0,30.0,1.4,401.8119739336168,86.0,-65.25592212413488,3288.8959971126633,253.11398922674616,510.41737074454267,Analysis_Data/degree_1/window_30/bandwidth_1.4
1.0,30.0,1.4999999999999998,405.9744004525083,86.0,-69.60329870931015,2521.313207644205,258.1610313266366,495.01743526429783,Analysis_Data/degree_1/window_30/bandwidth_1.5
1.0,30.0,1.5999999999999996,394.9843781696675,86.0,-58.96210577675362,3461.2779582664066,251.643541449157,531.3821637893764,Analysis_Data/degree_1/window_30/bandwidth_1.6
1.0,30.0,1.6999999999999995,402.6990510475094,86.0,-65.05006794002564,4099.700475608001,248.67590440023335,575.249237168877,Analysis_Data/degree_1/window_30/bandwidth_1.7
1.0,30.0,1.7999999999999998,432.29170497971353,86.0,-62.23748500235904,3378.878116624772,269.5795388835036,543.399099873242,Analysis_Data/degree_1/window_30/bandwidth_1.8
1.0,30.0,1.8999999999999997,433.0026865336368,86.0,-61.35921877456536,2776.192389744099,279.66524997594547,498.38634672804824,Analysis_Data/degree_1/window_30/bandwidth_1.9
1.0,30.0,1.9999999999999996,457.8227884448862,86.0,-67.76361139424914,3464.9489201765127,300.36879068926277,516.1175257265259,Analysis_Data/degree_1/window_30/bandwidth_2.0
1.0,30.0,2.0999999999999996,425.30871884818026,86.0,-67.09852757657684,2232.452905821631,294.9441416166469,432.3135421191603,Analysis_Data/degree_1/window_30/bandwidth_2.1
1.0,30.0,2.1999999999999997,430.8175298684728,86.0,-61.97470891131198,2320.979904796496,289.4096773898365,439.856454842092,Analysis_Data/degree_1/window_30/bandwidth_2.2
1.0,30.0,2.3,449.1346130404043,86.0,-66.29210222998346,3045.813708802567,319.48632422896793,494.9215983701859,Analysis_Data/degree_1/window_30/bandwidth_2.3
1.0,30.0,2.3999999999999995,428.6763889456709,86.0,-77.0180527917591,3059.2343366185487,328.9388639051608,493.29526634820377,Analysis_Data/degree_1/window_30/bandwidth_2.4
1.0,30.0,2.4999999999999996,442.990009978288,86.0,-75.44616893685745,3181.524858155185,301.0883067928709,509.0794691335998,Analysis_Data/degree_1/window_30/bandwidth_2.5
1.0,30.0,2.5999999999999996,462.0595874313603,86.0,-70.90106031333096,2514.626489476431,287.505361803184,506.32949358919177,Analysis_Data/degree_1/window_30/bandwidth_2.6
1.0,30.0,2.6999999999999993,471.3673107440118,86.0,-70.87740377440835,4354.982399812329,305.8473481564017,630.1228223507305,Analysis_Data/degree_1/window_30/bandwidth_2.7
1.0,30.0,2.7999999999999994,441.9659193204821,86.0,-62.27100446666478,4806.504308690379,292.7501104001281,601.9300821858747,Analysis_Data/degree_1/window_30/bandwidth_2.8
1.0,30.0,2.8999999999999995,479.3277435017273,86.0,-51.51163246819337,5990.958096424443,267.9942702817495,720.3781146025183,Analysis_Data/degree_1/window_30/bandwidth_2.9
1.0,30.0,2.9999999999999996,487.1480502442585,86.0,-57.852694951574335,4121.464438957099,303.94914501311905,628.5310062277057,Analysis_Data/degree_1/window_30/bandwidth_3.0
1.0,30.0,3.0999999999999996,501.0690741883678,86.0,-68.74836602852056,4143.2622332484525,326.94214540290557,623.954754309504,Analysis_Data/degree_1/window_30/bandwidth_3.1
1.0,30.0,3.1999999999999993,506.8331258267815,86.0,-56.137693033186785,4403.387037741477,311.48023311870674,645.746138839335,Analysis_Data/degree_1/window_30/bandwidth_3.2
1.0,30.0,3.2999999999999994,481.1543440250929,86.0,-65.0440017013708,2572.9543221734966,313.78378678924344,509.8712185817646,Analysis_Data/degree_1/window_30/bandwidth_3.3
1.0,30.0,3.3999999999999995,492.8190551898046,86.0,-58.05633854515897,2899.2770233379206,326.5217053137645,568.7737677804033,Analysis_Data/degree_1/window_30/bandwidth_3.4
1.0,30.0,3.499999999999999,529.643590769148,86.0,-65.03444020763769,2929.59575466465,323.61134658950994,609.9568641981448,Analysis_Data/degree_1/window_30/bandwidth_3.5
1.0,30.0,3.599999999999999,531.9036742222381,86.0,-38.58371079150215,3797.9093600315928,334.30645045070025,645.6118621363349,Analysis_Data/degree_1/window_30/bandwidth_3.6
1.0,30.0,3.6999999999999993,523.5925093554387,86.0,-39.843246869933935,5407.771588386416,302.7593334633779,716.953718509377,Analysis_Data/degree_1/window_30/bandwidth_3.7
1.0,30.0,3.7999999999999994,482.3372388479976,86.0,-26.281184283889637,4372.704776374991,283.2233038278663,625.9140800953321,Analysis_Data/degree_1/window_30/bandwidth_3.8
1.0,30.0,3.899999999999999,441.7797485115672,86.0,-42.76462219373226,2010.6915816977976,285.3472931792017,448.90686326860634,Analysis_Data/degree_1/window_30/bandwidth_3.9
1.0,30.0,3.999999999999999,418.4356881567314,86.0,-38.15435877488176,2010.6915816977976,282.39817212736125,449.89047949327977,Analysis_Data/degree_1/window_30/bandwidth_4.0
