strategy_final,simple_final,strategy_return_pct,simple_return_pct,num_years,strategy_cagr,simple_cagr,strategy_max_drawdown,simple_max_drawdown,strategy_sharpe,simple_sharpe,win_rate,profit_factor,num_trades,ticker
103784.32943522935,356495.21931977465,937.8432943522935,3464.952193197747,14.817248459958932,17.105590968795823,27.275970895419064,-31.500173120877516,-43.79715693311435,0.8674093469690757,1.0032161241537456,53.90749601275917,2.586596180108622,102,AAPL
5426.901887951406,9432.657982657624,-45.73098112048594,-5.673420173423764,3.885010266940452,-14.557531033126292,-1.49215351660561,-66.04219324494524,-61.95812614973961,-0.3071988929320419,0.21612474368291576,48.32635983263599,0.513644994664162,26,ABNB
88904.22198735259,131215.9586609834,789.0422198735259,1212.159586609834,14.817248459958932,15.88887337100009,18.97390184758596,-38.66976606177925,-60.0214980084683,0.7697685927271415,0.7051944808838134,53.43886462882096,1.3464616750102365,105,ADBE
60550.72842533778,102947.23340348243,505.5072842533778,929.4723340348244,14.817248459958932,12.92351463193846,17.041603894384227,-27.47857365988346,-33.6199271324981,0.7006100504297662,0.684861364155883,53.648068669527895,2.2194597651170445,110,ADI
30863.811284663258,110737.54793081344,208.6381128466326,1007.3754793081343,14.817248459958932,7.902726512627445,17.619229034761585,-32.98156838326603,-39.4511837407264,0.5598002462531347,0.8549348860721566,54.4702842377261,1.4708065614187695,104,ADP
49125.84521058226,112512.66321223813,391.2584521058226,1025.1266321223814,14.817248459958932,11.34116552316824,17.745533200540798,-51.95551826084602,-51.99403896552837,0.5390155598771187,0.6347780027198121,52.70057682223388,1.3195692428136405,104,ADSK
54852.23793063183,49416.739557115834,448.5223793063183,394.16739557115835,14.817248459958932,12.172764614276854,11.385538372156523,-16.099626150846426,-32.90520766557619,0.8957470538140564,0.6532383198807244,55.106499180775536,2.790099716789455,114,AEP
64795.33273418017,153195.8855932935,547.9533273418017,1431.958855932935,14.817248459958932,13.44104127278345,20.22396283850274,-59.82799072742092,-84.05511782383532,0.5249521103313832,0.6052621127607863,50.54691997697179,1.6140768872796698,105,AMD
90386.29096883886,165984.15867443834,803.8629096883886,1559.8415867443832,14.817248459958932,16.01825347248722,20.876248285960642,-43.2554746203734,-55.139204654725795,0.6965097420690897,0.7022322156762869,52.47422680412372,1.6054860814360383,112,AMAT
56663.62112431211,77119.1739569125,466.63621124312107,671.191739569125,14.817248459958932,12.418992919446925,14.781956824896824,-22.131059671935606,-24.859957439553646,0.7822155715390527,0.6922676333406181,52.61971830985915,1.727797031143471,110,AMGN
88307.80984878844,287871.53216713713,783.0780984878844,2778.7153216713714,14.817248459958932,15.83624009026401,25.452620134953552,-37.60733839264319,-56.145263253282586,0.7579000131605964,0.8568836651267507,52.71317829457365,2.9379521610254713,112,AMZN
12846.509139345273,26326.687412692012,28.46509139345273,163.2668741269201,3.542778918548939,7.326300162134203,31.420417497056086,-81.20029890488395,-91.9024812239502,0.37885840285012967,0.7268058263159846,52.66821345707656,1.337169566926516,24,APP
21564.486202147713,24280.54623777209,115.64486202147712,142.80546237772091,1.1279945242984257,97.63754294840123,119.55475109297838,-36.150052630770254,-42.56677438490822,1.7786865631268405,1.3176117457016088,60.65573770491803,6.428083699448351,8,ARM
33031.73076226799,208895.05553392213,230.3173076226799,1988.9505553392212,14.817248459958932,8.398210244773384,22.766681747625306,-44.34651953224525,-56.86183948847155,0.462663699206772,0.7587992031789358,52.00232153221126,1.4451677994832108,103,ASML
383460.64809667796,1314128.9604856335,3734.6064809667796,13041.289604856334,14.817248459958932,27.903843812982476,38.99032673365277,-32.65859744045669,-48.299971227304695,1.0841226068963579,1.0947999933696775,55.18538420204191,2.78338724052468,112,AVGO
43656.34019661032,944086.0021429984,336.5634019661032,9340.860021429984,14.817248459958932,10.457726112326625,35.92250952656975,-58.43207207752166,-58.60690692181906,0.46684674826208694,0.8708973245238849,49.97245179063361,1.4336753899020123,110,AXON
27891.18187335285,55719.558993925966,178.9118187335285,457.19558993925966,14.817248459958932,7.167741496743507,12.291594101057246,-33.143289814687215,-29.705018174096367,0.5053924393917799,0.6101326074385589,52.293577981651374,1.330808041597305,113,AZN
8893.443437917704,33777.03108452044,-11.065565620822964,237.77031084520436,14.817248459958932,-0.7883240523498869,8.561563380845572,-76.32249889233074,-61.935377853297155,0.09571266267286614,0.39909777248979006,50.19852524106636,0.9961309705949365,104,BIIB
11357.109103866054,200752.69080043366,13.571091038660544,1907.5269080043365,14.817248459958932,0.8625546146662888,22.437710753530602,-68.32305448536786,-47.77003895431533,0.1532936392041029,0.7786003666311859,51.93977996525767,1.0469512819377476,105,BKNG
31186.215979045424,17585.409732395146,211.86215979045423,75.85409732395146,14.817248459958932,7.978429050879865,3.8831416864704815,-57.57853723552066,-80.60706216508913,0.4228319439547946,0.29046192666572773,51.63797890061077,1.4761546291378764,104,BKR
13395.076067548636,102649.85625372417,33.950760675486364,926.4985625372416,14.817248459958932,1.992301646458583,17.018755734032,-58.723383333704284,-48.764115743001426,0.20199715698072124,0.7238012075365393,52.58215962441315,1.0155300253613293,108,CCEP
45077.003771121825,473856.21801119746,350.77003771121827,4638.562180111975,14.817248459958932,10.696710446520875,29.74408494088303,-35.32279356165116,-32.116968290911636,0.592309405462252,1.0067616805763018,52.78396436525612,1.405986342753791,113,CDNS
40317.326977773955,119161.06844062805,303.17326977773956,1091.6106844062804,11.342915811088295,13.078647914485163,24.415021261011272,-21.092847181250292,-44.83410110225624,0.7421907501227174,0.919190101542911,53.2258064516129,2.063340561358241,77,CDW
