,Strategy_Return (%),Simple_Return (%)
2010,1.6385081114444984,-13.634777926186015
2011,-34.47085898831457,-36.52894434225229
2012,50.92777513069747,-39.27850487180516
2013,18.448029021518725,119.46260595512636
2014,-26.326755940630385,-34.89866858203245
2015,14.62995173376049,27.39773630943289
2016,19.55156234729738,309.2904232038318
2017,-3.032467962944714,-1.5587159572408775
2018,18.75708463099909,25.066339097967745
2019,16.234021134288007,28.958824871784568
2020,4.2625106799707995,15.51237383877851
2021,-10.858936931625966,12.60625584925582
2022,-43.56740543646339,-10.239298022177023
2023,35.756941164483514,15.841965510784616
2024,21.263938955535505,6.453634425191036
