,Strategy_Return (%),Simple_Return (%)
2010,31.487242331304806,61.0768532430792
2011,-3.3808954717054953,4.451452404828156
2012,13.804032008259645,14.512187481209669
2013,14.103281507399576,16.9302858374439
2014,4.11931891781539,2.329933601430427
2015,4.741469429804206,7.176186604120565
2016,-8.359861210483215,-2.4274092885562797
2017,11.176096131038294,11.286798422810737
2018,-3.463442630784349,6.972265471897502
2019,5.660048060194032,5.681327404087464
2020,-18.66221594052434,4.6826449720521275
2021,-7.836658478669764,6.599246073223834
2022,0.21994880798956912,1.9678800168584705
2023,6.480890065650353,7.317076616967235
2024,0.8904347349531364,4.374133650545028
