,Strategy_Return (%),Simple_Return (%)
2010,27.194460295962923,91.8866989103135
2011,4.591927900458049,20.113624976170033
2012,60.91406920790757,23.924179860326078
2013,1.44262257158977,-5.475594214035658
2014,-8.897918169893599,1.3587086929737398
2015,8.949533925348154,1.0533835827415594
2016,1.435584857296637,7.205216173890092
2017,13.034267557930454,7.446646867104301
2018,24.74954865365702,14.941550968253747
2019,24.874008759349564,17.597452232508168
2020,-2.2643734756491303,11.757796683961304
2021,3.22284076466861,2.7347546383443206
2022,-2.6649946912640523,-1.2958791884231056
2023,10.105709149911494,9.85909522856878
2024,-5.147739540607437,-8.01168216407618
