,Strategy_Return (%),Simple_Return (%)
2010,7.31427716092343,35.65298344207544
2011,1.5681643695132825,-7.986236013111904
2012,-19.882165194250053,-14.502325476980559
2013,-9.890690036589165,28.45888053874612
2014,0.717060480165714,6.355799903401746
2015,-29.35475439572775,-9.795914758146743
2016,17.147724186597223,28.09253453835872
2017,-26.027961412023465,-17.97591539305393
2018,-10.562504389192785,-23.263645096861378
2019,55.85434301294383,21.97426227469314
2020,-24.90439779627931,-8.967761339643571
2021,-1.2371489115593215,14.96948719733976
2022,36.62064180084841,15.767127268767842
2023,24.1115722614665,13.618032438424901
2024,-1.9500597070122736,-4.683548289488118
