,Strategy_Return (%),Simple_Return (%)
2010,37.555241767816064,68.05231477599264
2011,1.699630303878807,10.789081116036057
2012,16.14038740918274,15.842326372382198
2013,18.80388870164835,27.36868353471514
2014,0.662217509758608,1.1736606206097904
2015,-3.2802968591307864,4.9891738065832225
2016,3.7364918199166417,6.788953996082492
2017,-3.6114570329151254,5.70064601509281
2018,-11.464339979807567,-0.13195980625838435
2019,7.171371569690592,5.995956085809661
2020,-5.539185542314515,5.562758833305024
2021,-2.210366652459248,4.081662131757558
2022,-17.389229950832462,-2.711910114520246
2023,7.777447744139486,14.8845175486419
2024,0.9670366220915226,6.316153987168363
