,Strategy_Return (%),Simple_Return (%)
2012,0.0,-2.7945590107518727
2013,23.9705104206366,55.055543210292676
2014,-2.0342000748821367,5.4846049566748665
2015,3.480555024093728,3.9591614566877964
2016,-5.859831314131814,8.158369069469554
2017,1.5076192741407854,3.974736613719085
2018,-3.9078254854478724,-1.6951514133550365
2019,9.82370703152291,-2.147441721117314
2020,-44.85763828034101,12.15118464875234
2021,111.30592368629482,7.908350028159754
2022,22.33024467844135,6.903010200260567
2023,-0.17406718418800637,4.365025885725757
2024,-6.125586840194811,0.043075079385940025
