,Strategy_Return (%),Simple_Return (%)
2010,21.07138615202244,22.357322894671324
2011,9.159812084940889,14.292006166956986
2012,9.11877605522041,17.525980185917728
2013,6.825971749437181,10.626864029065503
2014,11.875307426189124,11.088259605119813
2015,8.345913833742639,9.206849294842904
2016,6.848384300173342,1.3464814239282525
2017,-4.82370907277123,9.766354930442182
2018,-1.0760782256655963,4.542042581114025
2019,10.4745884646728,14.61764364507902
2020,1.0644495186655727,11.083896116280266
2021,14.070564938240713,12.748323931888603
2022,11.201960539146654,-4.240464005876484
2023,6.576869692158667,11.762829356728854
2024,10.268561224473368,7.984495611606851
