Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return,Return_Pct,Holding_Days
2010-04-22 04:00:00,2010-05-12 04:00:00,4.533999919891357,4.382999897003174,-0.03330393152980069,-3.330393152980069,20
2010-06-08 04:00:00,2010-07-09 04:00:00,3.927999973297119,3.9189999103546143,-0.0022912584021609174,-0.22912584021609175,31
2010-07-30 04:00:00,2010-08-25 04:00:00,4.382999897003174,4.176000118255615,-0.047227876708163356,-4.722787670816335,26
2010-09-16 04:00:00,2010-10-14 04:00:00,4.5229997634887695,5.073999881744385,0.12182183220602402,12.182183220602402,28
2010-11-12 05:00:00,2011-01-27 05:00:00,5.193999767303467,5.783999919891357,0.11359264132085184,11.359264132085183,76
2011-02-23 05:00:00,2011-03-16 04:00:00,5.857999801635742,5.5960001945495605,-0.04472509661284436,-4.472509661284436,20
2011-04-04 04:00:00,2011-04-21 04:00:00,6.3379998207092285,6.083000183105469,-0.040233456108748365,-4.023345610874837,17
2011-05-16 04:00:00,2011-06-06 04:00:00,7.0,5.866000175476074,-0.1619999749319894,-16.19999749319894,21
2011-06-27 04:00:00,2011-07-21 04:00:00,5.705999851226807,5.789000034332275,0.014546124302408363,1.4546124302408363,24
2011-08-09 04:00:00,2011-08-16 04:00:00,5.0279998779296875,5.1579999923706055,0.025855234207850932,2.5855234207850932,7
2011-09-06 04:00:00,2011-10-06 04:00:00,4.873000144958496,5.203999996185303,0.06792527013758703,6.792527013758703,30
2011-11-02 04:00:00,2011-11-29 05:00:00,6.197999954223633,6.361999988555908,0.026460154169655553,2.646015416965555,27
2011-12-14 05:00:00,2012-01-19 05:00:00,6.257999897003174,6.15500020980835,-0.016458882852354893,-1.6458882852354892,36
2012-02-01 05:00:00,2012-03-12 04:00:00,5.686999797821045,6.311999797821045,0.10989977531553047,10.989977531553047,39
2012-05-04 04:00:00,2012-07-02 04:00:00,7.051000118255615,8.371000289916992,0.18720750950546558,18.72075095054656,59
2012-08-02 04:00:00,2012-10-25 04:00:00,7.932000160217285,8.314000129699707,0.0481593496931999,4.81593496931999,84
2012-11-09 05:00:00,2012-11-20 05:00:00,7.795000076293945,8.343000411987305,0.07030151768181901,7.030151768181901,11
2012-12-04 05:00:00,2012-12-21 05:00:00,8.550999641418457,8.809000015258789,0.03017195470230828,3.0171954702308277,17
2013-03-12 04:00:00,2013-03-27 04:00:00,10.105999946594238,10.866999626159668,0.07530176960092796,7.530176960092796,15
2013-04-03 04:00:00,2013-05-06 04:00:00,10.600000381469728,11.119000434875488,0.048962267427182744,4.896226742718275,33
2013-05-23 04:00:00,2013-06-10 04:00:00,11.461000442504885,11.66100025177002,0.01745046693510323,1.7450466935103228,18
2013-07-01 04:00:00,2013-07-26 04:00:00,13.102999687194824,16.006000518798828,0.22155238501921215,22.155238501921215,25
2013-08-09 04:00:00,2013-08-29 04:00:00,16.089000701904297,15.07800006866455,-0.06283800044337644,-6.283800044337644,20
2013-09-19 04:00:00,2013-10-15 04:00:00,16.856000900268555,16.750999450683594,-0.006229321545853027,-0.6229321545853027,26
2013-10-31 04:00:00,2013-11-22 05:00:00,17.698999404907227,18.055999755859375,0.0201706516162245,2.01706516162245,22
2013-12-05 05:00:00,2014-02-07 05:00:00,17.915000915527344,17.530000686645508,-0.021490382875065744,-2.1490382875065746,64
2014-02-27 05:00:00,2014-03-21 04:00:00,20.381000518798828,20.698999404907227,0.015602712232654414,1.5602712232654414,21
2014-04-25 04:00:00,2014-05-23 04:00:00,15.934000015258787,16.135000228881836,0.012614548351359731,1.2614548351359731,28
2014-08-01 04:00:00,2014-09-11 04:00:00,14.305999755859377,15.79599952697754,0.1041520897907116,10.41520897907116,41
2014-09-23 04:00:00,2014-10-16 04:00:00,15.663000106811523,13.861000061035156,-0.11504820490888674,-11.504820490888674,23
2014-11-05 05:00:00,2014-12-01 05:00:00,15.991999626159668,16.69700050354004,0.04408459816539344,4.408459816539343,26
2014-12-26 05:00:00,2015-01-20 05:00:00,18.839000701904297,17.586000442504883,-0.06651097259488702,-6.651097259488702,25
2015-02-18 05:00:00,2015-03-02 05:00:00,18.52300071716309,19.886999130249023,0.0736380910368414,7.363809103684139,12
2015-03-25 04:00:00,2015-04-13 04:00:00,18.805999755859375,19.958999633789062,0.061310214447410485,6.131021444741049,19
2015-05-26 04:00:00,2015-06-17 04:00:00,20.83799934387207,20.6299991607666,-0.00998177318623615,-0.9981773186236151,22
2015-07-23 04:00:00,2015-08-10 04:00:00,21.399999618530273,20.027999877929688,-0.06411213855408532,-6.411213855408532,18
2015-08-25 04:00:00,2015-08-28 04:00:00,17.073999404907227,18.13800048828125,0.062317038799252836,6.231703879925283,3
2015-09-21 04:00:00,2015-10-05 04:00:00,17.856000900268555,17.972999572753906,0.006552344678902425,0.6552344678902424,14
2016-01-05 05:00:00,2016-01-15 05:00:00,19.972999572753903,17.81999969482422,-0.10779552015144941,-10.779552015144942,10
2016-02-08 05:00:00,2016-02-18 05:00:00,14.890000343322754,16.819000244140625,0.1295500239315245,12.955002393152451,10
2016-03-09 05:00:00,2016-05-31 04:00:00,17.930999755859375,20.659000396728516,0.15213879192529142,15.213879192529141,82
2016-06-28 04:00:00,2016-07-01 04:00:00,20.49799919128418,21.847000122070312,0.0658113466683974,6.58113466683974,3
2016-07-29 04:00:00,2016-08-09 04:00:00,20.790000915527344,20.746999740600582,-0.002068358491251689,-0.2068358491251689,11
2016-08-31 04:00:00,2016-09-22 04:00:00,20.725000381469727,21.86400032043457,0.05495777650181499,5.495777650181499,22
2016-10-28 04:00:00,2016-11-08 05:00:00,19.073999404907227,18.424999237060547,-0.03402538471715111,-3.402538471715111,11
2016-11-29 05:00:00,2017-03-02 05:00:00,19.500999450683594,20.49099922180176,0.05076661704554142,5.076661704554142,93
2017-05-05 04:00:00,2017-05-26 04:00:00,25.280000686645508,25.895999908447266,0.02436705716258811,2.4367057162588113,21
2017-06-28 04:00:00,2017-08-08 04:00:00,26.542999267578125,27.95400047302246,0.05315907185997073,5.315907185997073,41
2017-08-29 04:00:00,2017-09-20 04:00:00,28.246000289916992,28.209999084472656,-0.0012745594092905016,-0.12745594092905016,22
2017-09-27 04:00:00,2017-10-03 04:00:00,26.704999923706055,27.163000106811523,0.017150353282678783,1.7150353282678783,6
2017-10-17 04:00:00,2017-10-30 04:00:00,28.371999740600582,29.450000762939453,0.03799524292241698,3.7995242922416983,13
2017-12-05 05:00:00,2017-12-18 05:00:00,29.25900077819824,29.725000381469727,0.015926709418549873,1.5926709418549874,13
2018-01-11 05:00:00,2018-02-13 05:00:00,31.731000900268555,34.30099868774414,0.08099327832592368,8.099327832592367,33
2018-03-23 04:00:00,2018-04-05 04:00:00,36.141998291015625,35.52899932861328,-0.016960848635608684,-1.6960848635608685,13
2018-04-24 04:00:00,2018-06-04 04:00:00,38.500999450683594,39.104000091552734,0.0156619477279163,1.5661947727916299,41
2018-06-20 04:00:00,2018-07-09 04:00:00,41.724998474121094,42.88600158691406,0.027825120557237466,2.7825120557237466,19
2018-07-31 04:00:00,2018-09-24 04:00:00,41.584999084472656,41.75199890136719,0.004015866792621549,0.4015866792621549,55
2018-10-25 04:00:00,2018-12-27 05:00:00,35.83599853515625,33.81399917602539,-0.056423692426128824,-5.642369242612882,63
2019-01-18 05:00:00,2019-02-19 05:00:00,38.0099983215332,40.97800064086914,0.0780847790160128,7.80847790160128,32
2019-03-07 05:00:00,2019-04-01 04:00:00,45.694000244140625,47.948001861572266,0.04932817449530856,4.932817449530856,24
2019-04-25 04:00:00,2019-05-16 04:00:00,48.61000061035156,51.89899826049805,0.06766092591749708,6.7660925917497075,21
2019-05-24 04:00:00,2019-06-06 04:00:00,51.40800094604492,53.99599838256836,0.050342308374131506,5.03423083741315,13
2019-06-26 04:00:00,2019-07-11 04:00:00,53.47200012207031,58.80099868774414,0.09965960789774739,9.965960789774739,15
2019-07-31 04:00:00,2019-08-09 04:00:00,61.540000915527344,63.374000549316406,0.029801748561988087,2.9801748561988086,9
2019-09-10 04:00:00,2019-09-18 04:00:00,57.972999572753906,59.10900115966797,0.01959535637772932,1.959535637772932,8
2019-10-18 04:00:00,2019-11-06 05:00:00,58.8120002746582,55.1150016784668,-0.06286129665588716,-6.286129665588716,19
2019-11-22 05:00:00,2019-12-17 05:00:00,59.0620002746582,59.400001525878906,0.00572282092798895,0.5722820927988951,25
2020-01-15 05:00:00,2020-02-05 05:00:00,64.89900207519531,66.5459976196289,0.025377825417489473,2.5377825417489475,21
2020-02-21 05:00:00,2020-03-05 05:00:00,71.6240005493164,71.73899841308594,0.0016055772211487956,0.16055772211487956,13
2020-03-13 04:00:00,2020-03-25 04:00:00,66.39299774169922,54.02399826049805,-0.18629975903968887,-18.629975903968887,12
2020-04-16 04:00:00,2020-07-20 04:00:00,63.1609992980957,70.66999816894531,0.11888663818331964,11.888663818331963,95
2020-08-07 04:00:00,2020-09-02 04:00:00,83.04199981689453,87.78299713134766,0.05709155999261701,5.709155999261701,26
2020-11-18 05:00:00,2020-12-16 05:00:00,88.552001953125,86.08899688720703,-0.027814222282876905,-2.7814222282876906,28
2021-01-04 05:00:00,2021-01-21 05:00:00,89.5260009765625,91.1959991455078,0.01865377824016172,1.865377824016172,17
2021-02-17 05:00:00,2021-03-08 05:00:00,91.0749969482422,79.23100280761719,-0.13004660485858638,-13.004660485858638,19
2021-03-25 04:00:00,2021-05-10 04:00:00,80.3239974975586,83.97200012207031,0.04541609902598035,4.541609902598035,46
2021-06-03 04:00:00,2021-07-07 04:00:00,83.61499786376953,85.83000183105469,0.026490510361478103,2.64905103614781,34
2021-07-29 04:00:00,2021-08-23 04:00:00,87.5,83.55999755859375,-0.04502859933035714,-4.502859933035714,25
2021-09-13 04:00:00,2021-10-04 04:00:00,89.37000274658203,85.79000091552734,-0.040058204330665134,-4.005820433066513,21
2021-10-26 04:00:00,2021-11-12 05:00:00,99.73999786376952,82.86000061035156,-0.16924000014992582,-16.924000014992583,17
2022-02-14 05:00:00,2022-03-10 05:00:00,65.98999786376953,56.08000183105469,-0.15017421357056485,-15.017421357056485,24
2022-03-28 04:00:00,2022-04-20 04:00:00,68.38999938964844,63.33000183105469,-0.0739873900241566,-7.39873900241566,23
2022-05-12 04:00:00,2022-06-24 04:00:00,55.58000183105469,62.849998474121094,0.13080238221590665,13.080238221590665,43
2022-09-16 04:00:00,2022-10-27 04:00:00,70.44999694824219,81.62000274658203,0.15855225382828847,15.855225382828847,41
2022-11-03 04:00:00,2022-12-01 05:00:00,79.88999938964844,82.94999694824219,0.03830263589900893,3.830263589900893,28
2023-01-26 05:00:00,2023-02-16 05:00:00,78.70999908447266,78.18000030517578,-0.006733563530194849,-0.6733563530194848,21
2023-02-23 05:00:00,2023-03-06 05:00:00,70.73999786376953,71.87000274658203,0.01597405876359586,1.597405876359586,11
2023-06-08 04:00:00,2023-07-18 04:00:00,80.94000244140625,91.2300033569336,0.1271312157789523,12.713121577895231,40
2023-07-27 04:00:00,2023-08-07 04:00:00,80.16000366210938,81.55000305175781,0.01734031095491919,1.734031095491919,11
2023-09-11 04:00:00,2023-09-29 04:00:00,82.41000366210938,76.88999938964844,-0.06698221122636518,-6.698221122636518,18
2023-10-16 04:00:00,2023-11-01 04:00:00,81.62000274658203,73.66999816894531,-0.09740265020965878,-9.740265020965879,16
2023-11-28 05:00:00,2023-12-14 05:00:00,83.5999984741211,88.25,0.05562202883673908,5.5622028836739075,16
2024-01-04 05:00:00,2024-01-24 05:00:00,81.41999816894531,83.76000213623047,0.028739916726965308,2.8739916726965307,20
2024-02-06 05:00:00,2024-02-29 05:00:00,83.87999725341797,87.02999877929688,0.037553667489546194,3.7553667489546196,23
2024-03-25 04:00:00,2024-04-10 04:00:00,95.81999969482422,90.6500015258789,-0.05395531397840918,-5.395531397840918,16
2024-05-09 04:00:00,2024-06-04 04:00:00,91.33999633789062,78.62000274658203,-0.13925984345624448,-13.925984345624448,26
2024-07-03 04:00:00,2024-08-14 04:00:00,73.83000183105469,73.54000091552734,-0.003927954873832366,-0.3927954873832366,42
2024-09-04 04:00:00,2024-10-01 04:00:00,77.19999694824219,74.6500015258789,-0.03303103009282365,-3.3031030092823648,27
