Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,12.800442720689649,12.830136026603105,12.727560462195312,12.797743797302246,2606200,0.0,0.0
2010-01-05 00:00:00-05:00,12.651977098979932,12.668173728339546,12.49811272411997,12.538603782653809,2666600,0.0,0.0
2010-01-06 00:00:00-05:00,12.37124486349461,12.441428210020366,12.301060487238285,12.438729286193848,3020800,0.0,0.0
2010-01-07 00:00:00-05:00,12.552100630366823,12.592591689453718,12.481917294977334,12.57369613647461,4454600,0.0,0.0
2010-01-08 00:00:00-05:00,12.56290012535532,12.641182301254807,12.511611306102976,12.627684593200684,2675600,0.0,0.0
2010-01-11 00:00:00-05:00,12.81124592004303,12.91112363325404,12.7896514345723,12.854435920715332,4584000,0.0,0.0
2010-01-12 00:00:00-05:00,12.75455764260891,12.813944272257636,12.724864327784546,12.795048713684082,3153200,0.0,0.0
2010-01-13 00:00:00-05:00,13.03799125285911,13.108175634462505,12.954311221364373,13.094677925109863,4653000,0.0,0.0
2010-01-14 00:00:00-05:00,13.299826897189488,13.356513551261044,13.264734717641723,13.332219123840332,5256200,0.0,0.0
2010-01-15 00:00:00-05:00,13.251241225216628,13.262038979937238,13.113573456585835,13.186455726623535,1553000,0.0,0.0
2010-01-19 00:00:00-05:00,13.386211339421495,13.63455354316194,13.38351241535069,13.60486125946045,5796000,0.0,0.0
2010-01-20 00:00:00-05:00,13.548171043395998,13.564367674008231,13.375411102454061,13.548171043395996,4256400,0.0,0.0
2010-01-21 00:00:00-05:00,13.666944334115689,13.685839888379665,13.370012283325195,13.370012283325195,6323200,0.0,0.0
2010-01-22 00:00:00-05:00,13.316023859837987,13.548169358018521,13.178355091086026,13.183753967285156,2438600,0.0,0.0
2010-01-25 00:00:00-05:00,13.299830296651269,13.39160915372944,13.259339230690383,13.351118087768555,2686400,0.0,0.0
