strategy_final,simple_final,strategy_return_pct,simple_return_pct,win_rate,num_trades,ticker
46855.88857467759,356495.21931977465,368.5588857467759,3464.952193197747,52.357182473655016,28,AAPL
6188.304791360238,9432.657982657624,-38.11695208639762,-5.673420173423764,50.0,6,ABNB
54897.70424824928,131215.9586609834,448.97704248249283,1212.159586609834,54.0929203539823,30,ADBE
36684.994804335765,102947.23340348243,266.84994804335764,929.4723340348244,53.01939058171745,30,ADI
36717.259747415126,110737.54793081344,267.1725974741513,1007.3754793081343,54.112983151635284,30,ADP
31875.41138648195,112512.66321223813,218.75411386481946,1025.1266321223814,51.932606541129836,28,ADSK
24704.62682863111,49416.739557115834,147.0462682863111,394.16739557115835,54.125736738703345,28,AEP
113866.58882047916,153195.8855932935,1038.6658882047916,1431.958855932935,51.30090497737556,25,AMD
71363.75750630772,165984.15867443834,613.6375750630773,1559.8415867443832,51.9537699504678,28,AMAT
18454.00222623229,77119.1739569125,84.54002226232289,671.191739569125,50.39703546850185,25,AMGN
82297.80680566713,287871.53216713713,722.9780680566713,2778.7153216713714,53.83800952885125,29,AMZN
9250.226714165858,26326.687412692012,-7.497732858341425,163.2668741269201,49.41520467836257,5,APP
12391.003137626854,24280.54623777209,23.91003137626854,142.80546237772091,57.943925233644855,1,ARM
88415.35439181617,208895.05553392213,784.1535439181617,1988.9505553392212,52.30105465004794,26,ASML
157055.08693618607,1314128.9604856335,1470.5508693618606,13041.289604856334,54.66417910447762,27,AVGO
77335.99315752197,944086.0021429984,673.3599315752197,9340.860021429984,51.49253731343284,26,AXON
38087.301439054456,55719.558993925966,280.87301439054454,457.19558993925966,52.24032586558045,32,AZN
32054.15824456631,33777.03108452044,220.54158244566312,237.77031084520436,51.13576333861596,24,BIIB
47360.32796783956,200752.69080043366,373.60327967839567,1907.5269080043365,53.86836027713626,27,BKNG
11683.06245566528,17585.409732395146,16.8306245566528,75.85409732395146,50.2740408570005,26,BKR
23430.844234733464,102649.85625372417,134.30844234733462,926.4985625372416,52.07930367504836,26,CCEP
39820.33719085311,473856.21801119746,298.2033719085311,4638.562180111975,50.89757127771911,26,CDNS
23830.74959110701,119161.06844062805,138.3074959110701,1091.6106844062804,55.32223026792179,20,CDW
17729.661332453074,64003.36667759456,77.29661332453074,540.0336667759456,53.5064935064935,4,CEG
33584.62764346538,94657.1393694198,235.8462764346538,846.5713936941982,51.10803324099723,24,CHTR
21160.409823233582,67576.25923218745,111.60409823233582,575.7625923218745,52.61945883707541,25,CMCSA
42580.95630932589,207145.80696295507,325.80956309325893,1971.4580696295507,54.22495803021824,29,COST
46938.83468826707,229826.96822297596,369.3883468826707,2198.26968222976,54.94505494505495,23,CPRT
26449.809413426403,53008.622794316114,164.49809413426405,430.08622794316113,53.70121130551817,9,CRWD
21508.31627869185,33741.28114280484,115.0831627869185,237.41281142804834,51.20795831359545,24,CSCO
47687.525336802966,173869.82424289774,376.87525336802963,1638.6982424289772,52.37410071942447,24,CSGP
51860.121723337514,80198.94257132587,418.60121723337517,701.9894257132587,52.44909190974133,27,CSX
76746.7492531526,389353.01776995877,667.467492531526,3793.530177699588,57.20496894409938,28,CTAS
18312.848125865352,35131.30845997791,83.12848125865352,251.31308459977913,51.75438596491229,25,CTSH
3504.5027133571944,8192.180069658541,-64.95497286642805,-18.078199303414586,46.3768115942029,3,DASH
32715.027190733603,34130.49434515571,227.15027190733602,241.3049434515571,53.264604810996566,11,DDOG
63511.37435482502,335514.01650503004,535.1137435482502,3255.1401650503003,50.252525252525245,26,DXCM
27292.936345552596,84012.7628313289,172.92936345552596,740.127628313289,52.687458526874586,24,EA
15373.22242741832,20460.68811491388,53.7322242741832,104.60688114913879,52.780867630700776,27,EXC
34504.218127971995,126306.62475418241,245.04218127971998,1163.0662475418242,53.051359516616316,21,FANG
28588.69945972455,109507.6135445839,185.8869945972455,995.076135445839,52.264808362369344,28,FAST
