,Strategy_Return (%),Simple_Return (%)
2010,7.833228933138817,14.16480806174388
2011,0.3415530576252713,14.918831630759282
2012,25.524385899370188,20.540794824157143
2013,17.611495762058098,14.582248966783482
2014,1.3163329378037774,-0.7103205796813528
2015,7.578586876642267,10.391950930541991
2016,7.1155627167507385,4.302647752850311
2017,4.851840743571837,8.552702643994763
2018,6.084622110719907,6.309666473603107
2019,9.143042903858403,14.006039154431685
2020,3.615410470259601,12.437137228406796
2021,-5.363543594333627,5.426413510636626
2022,-7.571347807516071,-6.425977861243659
2023,11.528704990950356,11.556689675559943
2024,2.137101181972411,-0.10222197418513718
