Date,Open,Close,Poly_Center,Upper_Band,Lower_Band,Signal,Position,Daily_Return,Strategy_Return,Strategy_Portfolio_Value,Simple_Portfolio_Value
2010-01-04,15.498974912798028,15.494030952453612,,,,,0.0,0.0,0.0,10000.0,10000.0
2010-01-05,15.504661374908462,15.425801277160645,,,,,0.0,-0.004403610364684507,-0.0,10000.0,9955.963896353154
2010-01-06,15.472028932171234,15.036935806274414,,,,,0.0,-0.025208769638565443,-0.0,10000.0,9703.8761999675
2010-01-07,15.065117209595943,14.686882019042969,,,,,0.0,-0.02327959577278904,-0.0,10000.0,9471.08024223961
2010-01-08,14.634966958856282,14.88267421722412,,,,,0.0,0.013331093551870676,0.0,10000.0,9604.391177758316
2010-01-11,14.942995738769534,14.860179901123049,,,,,0.0,-0.0015114431568378217,-0.0,10000.0,9589.276746189938
2010-01-12,14.7746439031238,14.597392082214355,,,,,0.0,-0.017684026751845217,-0.0,10000.0,9412.436478671487
2010-01-13,14.251542886097656,14.513587951660156,,,,,0.0,-0.005741034431506975,-0.0,10000.0,9355.026134356416
2010-01-14,14.43472557868209,14.581817626953123,,,,,0.0,0.004701089456323082,0.0,10000.0,9402.037028919647
2010-01-15,14.668096042323066,14.3383150100708,,,,,0.0,-0.016699057902920922,-0.0,10000.0,9235.046449890438
2010-01-19,14.36797921716125,14.526689529418944,,,,,0.0,0.013137842153407409,0.0,10000.0,9366.424871424513
2010-01-20,14.486147006285536,14.34844970703125,,,,,0.0,-0.012269817016927975,-0.0,10000.0,9243.726701255233
2010-01-21,14.423354686502252,14.411982536315918,,,,,0.0,0.004427853223302192,0.0,10000.0,9288.005233488255
2010-01-22,13.955134252844775,13.596923828125,,,,,0.0,-0.05655423923371394,-0.0,10000.0,8722.462841151115
2010-01-25,13.51237753666758,13.349465370178224,,,,,0.0,-0.018199591398380233,-0.0,10000.0,8540.466927167312
2010-01-26,13.299280329264814,13.409290313720703,,,,,0.0,0.00448144864858202,0.0,10000.0,8585.281413653132
2010-01-27,13.38086068218612,13.401379585266112,,,,,0.0,-0.0005899438575430738,-0.0,10000.0,8579.381975077702
2010-01-28,13.460461540186232,13.208306312561035,,,,,0.0,-0.01440696992997248,-0.0,10000.0,8435.312275777978
2010-01-29,13.312135418992732,13.10076904296875,,,,,0.0,-0.008141639590082628,-0.0,10000.0,8353.895879877151
2010-02-01,13.215969857047051,13.176909446716309,,,,,0.0,0.005811903369781435,0.0,10000.0,8412.014913574965
2010-02-02,13.224868233609056,13.129940032958984,,,,,0.0,-0.0035645242875239624,-0.0,10000.0,8376.369670699725
2010-02-03,13.069371436677226,13.36973476409912,,,,,0.0,0.018263200786766687,0.0,10000.0,8559.001678567392
2010-02-04,13.275301968191586,13.022650718688965,,,,,0.0,-0.025960428649800638,-0.0,10000.0,8299.397392069386
2010-02-05,13.062698241962083,13.13414192199707,,,,,0.0,0.008561329464830347,0.0,10000.0,8385.01068671769
2010-02-08,13.164054478345085,13.188034057617188,,,,,0.0,0.004103209478029113,0.0,10000.0,8426.042781497981
2010-02-09,13.338093080462592,13.261456489562988,,,,,0.0,0.005567352315366092,0.0,10000.0,8481.716304651642
2010-02-10,13.202868344325124,13.212262153625488,,,,,0.0,-0.0037095726232044823,-0.0,10000.0,8444.620578419597
2010-02-11,13.184326002880669,13.260468482971191,,,,,0.0,0.003648605271768357,0.0,10000.0,8481.106631137282
2010-02-12,13.175674590493117,13.17938232421875,,,,,0.0,-0.006114878886562036,-0.0,10000.0,8419.95784227166
2010-02-16,13.27208641369926,13.381601333618164,,,,,0.0,0.015343587766462496,0.0,10000.0,8573.393719936284
2010-02-17,13.39890685175077,13.305213928222656,,,,,0.0,-0.005708390460236079,-0.0,10000.0,8516.309815333925
2010-02-18,13.288650797463998,13.429067611694336,,,,,0.0,0.00930865780436374,0.0,10000.0,8609.396393377561
2010-02-19,13.362566685977214,13.368253707885742,,,,,0.0,-0.004528527636247448,-0.0,10000.0,8564.111117015087
2010-02-22,13.53116549619023,13.418684005737305,,,,,0.0,0.003772392337363817,0.0,10000.0,8601.835040388725
2010-02-23,13.42362808094101,13.227588653564451,,,,,0.0,-0.014240990554002741,-0.0,10000.0,8459.425134848698
2010-02-24,13.200643542755818,13.138592720031738,,,,,0.0,-0.006728054210298651,-0.0,10000.0,8392.144592745712
2010-02-25,13.031055303899974,13.013997077941896,,,,,0.0,-0.009483180181076523,-0.0,10000.0,8297.312790934946
2010-02-26,13.038470707620638,13.023143768310549,,,,,0.0,0.000702834825755172,0.0,10000.0,8304.341139192498
2010-03-01,13.082476155620425,13.168752670288086,,,,,0.0,0.011180779738594993,0.0,10000.0,8416.148936578447
2010-03-02,13.23772512802106,13.375669479370115,,,,,0.0,0.015712711314632255,0.0,10000.0,8573.276049724771
2010-03-03,13.40780591106751,13.480981826782228,,,,,0.0,0.007873426266591155,0.0,10000.0,8652.010312390683
2010-03-04,13.510151739113317,13.7101469039917,,,,,0.0,0.016999138501484712,0.0,10000.0,8822.001697405529
2010-03-05,13.877263103508536,13.947965621948242,,,,,0.0,0.017346183058571274,0.0,10000.0,8995.463527991242
2010-03-08,13.962055998966196,13.905197143554688,,,,,0.0,-0.0030662879127157927,-0.0,10000.0,8964.800648864084
2010-03-09,13.84018239740871,13.848587036132812,,,,,0.0,-0.004071147416138232,-0.0,10000.0,8924.089174702702
