Date,Open,Close,Poly_Center,Upper_Band,Lower_Band,Signal,Position,Daily_Return,Strategy_Return,Strategy_Portfolio_Value,Simple_Portfolio_Value
2010-02-26,9.001424384381306,9.004752159118652,,,,,0.0,-0.002212803891998738,-0.0,10000.0,9409.070201856985
2010-03-01,9.077961995070284,9.14784336090088,,,,,0.0,0.015890631885667972,0.0,10000.0,9567.976520713664
2010-03-02,9.074636601139106,9.081292152404783,,,,,0.0,-0.007275070841346709,-0.0,10000.0,9495.225812300196
2010-03-03,9.134535217433612,8.988116264343262,,,,,0.0,-0.010260201576804073,-0.0,10000.0,9392.623796532156
2010-03-04,9.034703302598349,8.984787940979004,,,,,0.0,-0.00037030266035409376,-0.0,10000.0,9388.920769928614
2010-03-05,9.03137546613588,9.071308135986328,,,,,0.0,0.009629631280746453,0.0,10000.0,9485.217082736079
2010-03-08,9.054672037630237,9.014739990234377,,,,,0.0,-0.006235941377356835,-0.0,10000.0,9422.857668962512
2010-03-09,8.974803408830226,8.958165168762207,,,,,0.0,-0.006275812894598998,-0.0,10000.0,9360.099540016521
2010-03-10,8.951510901455537,9.077963829040527,,,,,0.0,0.0133731247439004,0.0,10000.0,9493.830787455525
2010-03-11,9.051339630689831,9.154498100280762,,,,,0.0,0.008430775081456066,0.0,10000.0,9578.138538270086
2010-03-12,9.151174441663034,9.39409637451172,,,,,0.0,0.026172737337026852,0.0,10000.0,9839.865911640354
2010-11-08,11.417568451371944,11.516435623168944,,,,,0.0,0.22592266079104784,0.0,10000.0,12099.092519550832
2010-11-09,11.49257255416957,11.53348445892334,,,,,0.0,0.001480391703844397,0.0,10000.0,12113.896436589275
2010-11-10,11.526662951036418,11.550527572631836,,,,,0.0,0.0014777072591718454,0.0,10000.0,12128.673509180997
2010-11-11,11.407344214811769,11.444846153259276,,,,,0.0,-0.009149488515396098,-0.0,10000.0,12037.178624027034
2010-11-12,11.383478513920778,11.438026428222656,,,,,0.0,-0.0005958773884153779,-0.0,10000.0,12031.21985014288
2010-11-15,11.489166026347236,11.45848274230957,,,,,0.0,0.0017884478773750878,0.0,10000.0,12049.104328916632
2010-11-16,11.366855504834852,11.315187454223633,,,,,0.0,-0.012505607531862029,-0.0,10000.0,11924.048253598012
2010-11-17,11.370301633786916,11.373746871948242,,,,,0.0,0.005175293645069079,0.0,10000.0,11975.801190048704
2010-11-18,11.490860988670365,11.56319522857666,,,,,0.0,0.01665663556269803,0.0,10000.0,12142.367545675681
2010-11-19,11.566637605507047,11.680305480957031,,,,,0.0,0.010127845294088944,0.0,10000.0,12243.645998616572
2010-11-22,11.725086212158203,11.725086212158203,,,,,0.0,0.0038338664407520096,0.0,10000.0,12281.98466302409
2010-11-23,11.597639598972329,11.628640174865724,,,,,0.0,-0.008225614340683474,-0.0,10000.0,12199.728519617256
2010-11-24,11.718195433818982,11.886975288391112,12.331484243900029,13.127115251484755,11.535853236315303,,0.0,0.022215418969085965,0.0,10000.0,12421.882709308116
2010-11-26,11.797423720797095,11.811202049255373,12.313487045211954,13.112895525072055,11.514078565351852,,0.0,-0.006374476037629084,-0.0,10000.0,12358.137948931826
2010-11-29,11.721640383097617,11.738863945007324,12.234409772631132,13.039810043807758,11.429009501454505,,0.0,-0.006124533637337004,-0.0,10000.0,12296.892612558455
2010-11-30,11.576973915100098,11.576973915100098,12.107853998528121,12.919086989826635,11.296621007229607,,0.0,-0.01379094524526625,-0.0,10000.0,12158.983160105792
2010-12-01,11.731977725714282,11.883535385131836,11.908871747691842,12.726671931658174,11.09107156372551,,0.0,0.026480276476384068,0.0,10000.0,12423.785924869635
2010-12-02,11.862864294762314,12.207314491271973,11.840142272999094,12.655062113206514,11.025222432791674,,0.0,0.02724602533226217,0.0,10000.0,12696.246178192254
2010-12-03,12.1315358452202,12.283093452453612,11.890506938457516,12.70521775610436,11.075796120810672,,0.0,0.006207668462692606,0.0,10000.0,12758.322862819181
2010-12-06,12.252096048895703,12.22454071044922,11.950599455301216,12.76794639498772,11.133252515614712,,0.0,-0.004766937761325529,-0.0,10000.0,12710.653485205925
2010-12-07,12.396763630691812,12.272761344909668,11.941783663906946,12.75677200990821,11.126795317905684,,0.0,0.003944576373264397,0.0,10000.0,12750.099248938568
2010-12-08,12.272760388478863,12.506986618041992,11.933354836424904,12.746509268257093,11.120200404592715,,0.0,0.01908496927054415,0.0,10000.0,12940.94894164401
2010-12-09,12.529588475297244,12.307025909423828,12.022822590671783,12.843757591510286,11.20188758983328,,0.0,-0.015987920569908498,-0.0,10000.0,12781.069735944928
2010-12-10,12.307029374598244,12.227046012878418,11.981012537878193,12.799444295152991,11.162580780603395,,0.0,-0.0064987184665116215,-0.0,10000.0,12716.082551279811
2010-12-13,12.254864597813713,12.0635986328125,11.900085213941509,12.715393844727677,11.08477658315534,,0.0,-0.013367691582559127,-0.0,10000.0,12582.405635454219
2010-12-14,12.07403229261139,12.028823852539062,11.757646527368003,12.569078088661993,10.946214966074013,,0.0,-0.0028826207943334348,-0.0,10000.0,12553.579427510884
2010-12-15,12.028824582976853,11.95231819152832,11.655798461461757,12.4692247095847,10.842372213338813,,0.0,-0.006360194641522932,-0.0,10000.0,12489.977481095655
2010-12-16,11.987097842458834,11.980142593383787,11.543183433021508,12.358959684639515,10.7274071814035,,0.0,0.002327950227696274,0.0,10000.0,12513.256983372617
2010-12-17,11.938407903811806,11.858423233032228,11.475453667843713,12.296345758643026,10.654561577044399,,0.0,-0.01016009278710761,-0.0,10000.0,12411.65605550154
2010-12-20,11.882772265150464,11.768013954162598,11.376919653157826,12.201734149243391,10.55210515707226,,0.0,-0.007624055668530305,-0.0,10000.0,12335.41549881624
2010-12-21,11.81669745573405,11.98709774017334,11.284170791409416,12.11264212928619,10.455699453532642,,0.0,0.018616887000991955,0.0,10000.0,12521.58436882616
2010-12-22,12.001005475220223,11.941887855529783,11.346976636521386,12.181906656724,10.512046616318774,,0.0,-0.003771545508638119,-0.0,10000.0,12483.868913739778
2010-12-23,11.910590990050926,11.907114028930664,11.389034699949722,12.23000616956777,10.548063230331673,,0.0,-0.002911920378067978,-0.0,10000.0,12454.749709959096
2010-12-27,11.754098412447131,12.03577995300293,11.433184018043594,12.276897215117735,10.589470820969453,,0.0,0.010805802628550243,0.0,10000.0,12562.807736244598
2010-12-28,12.0357825059487,11.966231346130373,11.53408679233457,12.384895546933127,10.683278037736013,,0.0,-0.005778487737739368,-0.0,10000.0,12505.022858867205
2010-12-29,12.00100626275052,11.966231346130373,11.643368949237612,12.483638677162915,10.803099221312308,,0.0,0.0,0.0,10000.0,12505.022858867205
2010-12-30,11.948845927134808,11.96971035003662,11.755393582606244,12.582861782857854,10.927925382354633,,0.0,0.00029073513670385687,0.0,10000.0,12507.930210234246
2010-12-31,11.959275787792569,11.896679878234863,11.878902362990221,12.686811808572344,11.070992917408098,,0.0,-0.006101273102363081,-0.0,10000.0,12446.917479210615
2011-01-03,11.955800788437973,12.098380088806152,11.975012132994753,12.759229063546922,11.190795202442583,,0.0,0.016954327815469128,0.0,10000.0,12616.460757365307
2011-01-04,12.140106598595269,12.074033737182615,12.156475217117405,12.91724527676681,11.395705157468,,0.0,-0.002012364584748294,-0.0,10000.0,12596.337111517823
2011-01-05,12.004484350106528,12.108810424804688,12.295086634006656,13.04104244294062,11.549130825072693,,0.0,0.002880287431612505,0.0,10000.0,12625.139985833948
2011-01-06,12.09489834059852,12.178359985351562,12.429560282041962,13.163704084850329,11.695416479233595,,0.0,0.005743715369794122,0.0,10000.0,12682.577139531888
2011-01-07,12.206180808497695,12.164450645446776,12.558833848642095,13.289001563353585,11.828666133930605,,0.0,-0.001142135716263759,-0.0,10000.0,12671.15578236925
2011-01-10,12.213133835706644,12.303550720214844,12.65579213169749,13.386466839329728,11.925117424065252,,0.0,0.011434965607767467,0.0,10000.0,12785.505438446924
2011-01-11,12.324415629022484,12.387011528015137,12.773437143202084,13.507214748525193,12.039659537878975,,0.0,0.006783473299554643,0.0,10000.0,12853.34017144247
2011-01-12,12.428747312124685,12.43222427368164,12.877263939139755,13.615210597058025,12.139317281221485,,0.0,0.0036500123992173616,0.0,10000.0,12889.840295434647
2011-01-13,12.449607353697765,12.522635459899902,12.963753481030675,13.706875794307848,12.220631167753503,,0.0,0.00727232587089488,0.0,10000.0,12962.563554143593
2011-01-14,12.52959161096734,12.87734603881836,13.051100381094635,13.798546362845816,12.303654399343454,,0.0,0.028325553359300093,0.0,10000.0,13245.819087736596
2011-01-18,12.898214097786402,13.03036117553711,13.224876657574622,13.96514560546581,12.484607709683434,,0.0,0.011882505623246553,0.0,10000.0,13364.64414396906
2011-01-19,13.01992443182519,12.832138061523438,13.39546596471863,14.126165881371946,12.664766048065314,,0.0,-0.01521240365814347,-0.0,10000.0,13212.520107387627
2011-01-20,12.759113052946216,12.661742210388184,13.411996784575642,14.137049307886425,12.686944261264859,1.0,0.0,-0.01327883555478393,-0.0,10000.0,13079.731751839787
2011-01-21,12.72781478279938,12.682607650756836,13.296255251564517,14.005310348657757,12.587200154471278,,1.0,0.001647912271625085,0.001647912271625085,10016.479122716251,13096.210874556038
2011-01-24,12.706948425671236,12.929511070251465,13.172655618520697,13.856179566607718,12.489131670433675,,1.0,0.01946787492711688,0.01946787492711688,10211.15787198742,13290.889623827206
2011-01-25,12.866913879222103,12.978195190429688,13.149005629870711,13.802839696703051,12.49517156303837,,1.0,0.0037653488916713496,0.0037653488916713496,10248.811360904134,13328.54311274392
2011-01-26,12.9781986260449,13.016451835632324,13.125510246168172,13.753892609411224,12.49712788292512,,1.0,0.002947763124324654,0.002947763124324654,10278.28899214738,13358.020743987166
2011-01-27,13.033835233550317,13.176414489746094,13.097230719157347,13.702756044691402,12.491705393623292,,1.0,0.01228926716233647,0.01228926716233647,10401.181663770745,13480.913415610532
2011-01-28,13.27726450694472,12.82866096496582,13.141077315120285,13.73970281234536,12.54245181789521,,1.0,-0.02639212094085963,-0.02639212094085963,10137.26045436215,13216.992206201934
2011-01-31,12.79041070194251,12.682607650756836,13.051094148570854,13.653173363531083,12.449014933610625,,1.0,-0.011384922760672045,-0.011384922760672045,10023.411226755428,13103.142978595215
2011-02-01,12.786932870142705,12.932989120483398,12.941051762669751,13.539323953624654,12.342779571714848,,1.0,0.01974211271225612,0.01974211271225612,10220.83235387799,13300.564105717776
2011-02-02,12.859960216052716,12.908645629882812,13.005326145823002,13.553449214013828,12.457203077632176,,1.0,-0.001882278750395816,-0.001882278750395816,10202.00956637403,13281.741318213817
2011-02-03,12.87386683542189,12.887777328491213,13.100376706256984,13.514296389018698,12.68645702349527,,1.0,-0.0016166143211252537,-0.0016166143211252537,10185.843423162776,13265.575175002567
2011-02-04,12.915604985756705,13.079050064086914,13.00420155543737,13.408409825446991,12.59999328542775,,1.0,0.014841405986496303,0.014841405986496303,10334.257483027743,13413.989234867528
2011-02-07,13.051222866634362,13.033835411071776,12.984565273439575,13.3728358182941,12.59629472858505,,1.0,-0.003457028820410324,-0.003457028820410324,10299.687194823637,13379.418946663425
2011-02-08,13.02340316772461,13.02340316772461,12.928375985671384,13.294767566405486,12.56198440493728,,1.0,-0.0008003970449330655,-0.0008003970449330655,10291.683224374308,13371.414976214093
2011-02-09,13.01296821732676,12.950373649597168,12.872521559971865,13.22387423455377,12.52116888538996,,1.0,-0.005607560265693645,-0.005607560265693645,10235.60762171737,13315.339373557157
2011-02-10,12.849525569102893,13.089475631713867,12.78794781307333,13.125360205763817,12.450535420382844,,1.0,0.010741155883253306,0.010741155883253306,10343.019180549903,13422.75093238969
2011-02-11,13.05470071247366,13.207712173461914,12.770060300159622,13.100738678835077,12.439381921484168,0.0,1.0,0.009032947161120575,0.009032947161120575,10433.34865216111,13513.080404000897
2011-02-14,13.18685145518632,13.266836166381836,12.820812927550474,13.162896225447549,12.4787296296534,0.0,0.0,0.004476474967308741,0.0,10433.34865216111,13557.845153673985
2011-02-15,13.200758011795028,13.172938346862791,12.89180740678228,13.246470646983564,12.537144166580998,,0.0,-0.007077634662963739,-0.0,10433.34865216111,13487.068807044347
2011-02-16,13.200754204163443,13.291171073913574,12.901935332373462,13.261065703268121,12.542804961478803,0.0,0.0,0.008975425522957936,0.0,10433.34865216111,13576.823062273927
2011-02-17,13.284218422178569,13.322471618652344,12.954242819070155,13.321950808827042,12.586534829313267,0.0,0.0,0.002354987725664115,0.0,10433.34865216111,13600.372939530567
2011-02-18,13.312035820814092,13.28073787689209,13.010137334181321,13.385752169442439,12.634522498920203,,0.0,-0.0031325825233378124,-0.0,10433.34865216111,13569.047114297187
2011-02-22,13.148597827698303,12.92255687713623,13.056406810815698,13.433731666012187,12.679081955619209,,0.0,-0.026969962292462624,-0.0,10433.34865216111,13299.347491372564
2011-02-23,12.929510569438062,12.626964569091797,12.929669866300104,13.308022810652961,12.551316921947247,,0.0,-0.022874134805892954,-0.0,10433.34865216111,13070.606143313635
2011-02-24,12.620011957776034,12.769546508789062,12.719809915844706,13.102548269479898,12.337071562209514,,0.0,0.011291861865699415,0.0,10433.34865216111,13183.524761970626
2011-02-25,12.839091710590418,12.981672286987305,12.636287925569174,13.011880175120117,12.260695676018232,,0.0,0.016611848984005695,0.0,10433.34865216111,13349.643251810685
2011-02-28,13.019926504723191,12.835617065429688,12.706831852431215,13.049146459921442,12.364517244940988,,0.0,-0.011250878802727238,-0.0,10433.34865216111,13237.134463783412
2011-03-01,12.894735380117368,12.658262252807615,12.712556200808192,13.0242216484602,12.400890753156185,,0.0,-0.013817396679723593,-0.0,10433.34865216111,13098.960496986176
2011-03-02,12.606102328967578,12.786934852600098,12.638355389213093,12.939252185780987,12.337458592645199,,0.0,0.01016510775512991,0.0,10433.34865216111,13200.611574537475
2011-03-03,12.88778057662432,13.068613052368164,12.640717282613958,12.935909394566925,12.34552517066099,0.0,0.0,0.022028594265559365,0.0,10433.34865216111,13420.897517193069
2011-03-04,13.030356238334072,12.93646240234375,12.780057283195235,13.076328119912885,12.483786446477586,,0.0,-0.010112063881213995,-0.0,10433.34865216111,13319.77687838093
2011-03-07,13.00601924181566,12.734769821166992,12.845058954722665,13.13448560754833,12.555632301897,,0.0,-0.01559101514029182,-0.0,10433.34865216111,13163.86672697801
2011-03-08,12.686081730264023,12.800841331481934,12.791348531621761,13.081206714787726,12.501490348455796,,0.0,0.005188276760615063,0.0,10433.34865216111,13215.74949458416
2011-03-09,12.738245388121555,12.491338729858398,12.78707351795509,13.07693508033124,12.49721195557894,1.0,0.0,-0.024178301535724533,-0.0,10433.34865216111,12973.966479226914
2011-03-10,12.28616165883473,12.28268337249756,12.657779864295728,12.953811341042883,12.361748387548573,1.0,1.0,-0.01670400281933615,-0.01670400281933615,10266.308623967749,12806.926451033554
2011-03-11,12.227044685697084,12.38353443145752,12.481039428888907,12.787355825076515,12.1747230327013,,1.0,0.008210832755469077,0.008210832755469077,10348.416951522438,12889.034778588244
2011-11-07,12.987885866855857,12.96306610107422,12.38804200550551,12.694818991064613,12.081265019946406,0.0,1.0,0.04679856730922749,0.04679856730922749,10816.402624614713,13357.020451680519
2011-11-08,13.02689124629364,13.090712547302246,12.56868849084531,12.898325813436129,12.23905116825449,0.0,0.0,0.009846933220331922,0.0,10816.402624614713,13455.48978388384
2011-11-09,12.803511131611277,12.56949520111084,12.770376765291754,13.117724749874112,12.423028780709396,,0.0,-0.03981581172973048,-0.0,10816.402624614713,13057.331666586535
2011-11-10,12.668772371314596,12.67940902709961,12.73027927734439,13.079828755245066,12.380729799443715,,0.0,0.008744490071411537,0.0,10816.402624614713,13144.77656730065
2011-11-11,12.778691128966274,13.033980369567873,12.759919995699434,13.106952596372947,12.41288739502592,,0.0,0.027964342952454757,0.0,10816.402624614713,13424.419996825198
2011-11-14,12.984340864009294,12.916973114013672,12.91606691804607,13.267752031700688,12.564381804391452,,0.0,-0.008977093124015512,-0.0,10816.402624614713,13334.649065585043
2011-11-15,12.888605465136726,13.07298183441162,12.995034570100026,13.346706062841733,12.64336307735832,,0.0,0.012077807936961005,0.0,10816.402624614713,13455.427144954652
2011-11-16,12.920516122267202,12.984338760375977,13.1244335134322,13.476434841307638,12.772432185556761,,0.0,-0.006780631623177991,-0.0,10816.402624614713,13387.620828722873
2011-11-17,12.983627461977434,12.453829765319824,13.172943945715879,13.52455195634287,12.821335935088888,1.0,0.0,-0.04085760583165732,-0.0,10816.402624614713,12979.0447704063
2011-11-18,12.493207169762025,12.378656387329102,12.987013169932395,13.36817689969864,12.60584944016615,1.0,1.0,-0.006036165533598203,-0.006036165533598203,10756.04096927873,12918.683115070318
2011-11-21,12.26052101773795,12.174607276916504,12.79902788723844,13.198700229526468,12.399355544950412,1.0,1.0,-0.01648394656317176,-0.01648394656317176,10591.201503647015,12753.843649438599
2011-11-22,12.145967620929351,11.881068229675291,12.559630193528658,12.977317315466937,12.14194307159038,1.0,1.0,-0.024110761075453624,-0.024110761075453624,10350.093892892479,12512.736038684063
2011-11-23,11.80232248603318,11.651973724365234,12.25650500406597,12.696957237136372,11.816052770995567,1.0,1.0,-0.019282315435058983,-0.019282315435058983,10157.270738541889,12319.912884333473
2011-11-25,11.555318472312562,11.562478065490724,11.907870976481206,12.360094745395246,11.455647207567166,,1.0,-0.007680729547764664,-0.007680729547764664,10080.46344306424,12243.105588855828
2011-11-28,11.852437742294295,11.83811855316162,11.605226453671442,12.059045364140768,11.151407543202115,,1.0,0.02383922253600379,0.02383922253600379,10318.855668424281,12481.497814215865
2011-11-29,11.816639256979675,11.802321434020996,11.494966247307687,11.94899664583781,11.040935848777565,,1.0,-0.0030238858463756957,-0.0030238858463756957,10288.616809960522,12451.258955752108
2011-11-30,12.060058571191822,12.496784210205078,11.411339498929582,11.868453427508776,10.954225570350388,0.0,1.0,0.05884120171327023,0.05884120171327023,10877.028827093225,13039.670972884809
2011-12-01,12.443087684337671,12.478885650634766,11.66587127514882,12.176435688142965,11.155306862154676,0.0,0.0,-0.0014322532316510816,-0.0,10877.028827093225,13025.3484405683
2011-12-02,12.57195697230418,12.403711318969728,11.881956941298405,12.419726135147313,11.344187747449498,,0.0,-0.006024122166806922,-0.0,10877.028827093225,12965.10721890023
2011-12-05,12.589856193402374,12.496784210205078,12.043104219496795,12.590329499088629,11.495878939904962,,0.0,0.0075036324888508865,0.0,10877.028827093225,13040.143543788738
2011-12-06,12.468148128157525,12.493206024169922,12.231416658232753,12.782577742223436,11.68025557424207,,0.0,-0.0002863285446054187,-0.0,10877.028827093225,13037.280258342686
2011-12-07,12.471721256646108,12.568373680114746,12.394903155794081,12.942669987509943,11.84713632407822,,0.0,0.006016682651306837,0.0,10877.028827093225,13097.447084855754
2011-12-08,12.482464109585935,12.403711318969728,12.534591590156511,13.083510347529598,11.985672832783424,,0.0,-0.013101326021642823,-0.0,10877.028827093225,12966.433824639325
2011-12-09,12.278419940926744,12.460986137390137,12.556810527322734,13.10452835365141,12.009092700994056,,0.0,0.004617554935579138,0.0,10877.028827093225,13012.609373995116
2011-12-12,12.335694973224664,12.410868644714355,12.6070978851676,13.155142737713746,12.059053032621453,,0.0,-0.004021952365824366,-0.0,10877.028827093225,12972.389850336871
2011-12-13,12.464566911383992,12.163870811462402,12.641960394428072,13.189811429029202,12.094109359826941,,0.0,-0.019901736157456384,-0.0,10877.028827093225,12773.372488762308
2011-12-14,12.12091445505472,12.06005859375,12.570345778026079,13.1248362730969,12.015855282955258,,0.0,-0.008534472235152024,-0.0,10877.028827093225,12688.02776641079
2011-12-15,12.185348602264911,12.099434852600098,12.447069329525192,13.011769115804292,11.882369543246092,,0.0,0.003265013892262747,0.0,10877.028827093225,12720.677905333418
2011-12-16,12.13881464960884,12.34285831451416,12.354135071294886,12.922905319531678,11.785364823058094,,0.0,0.02011858114693288,0.0,10877.028827093225,12921.863716802745
2011-12-19,12.46814509481744,12.174607276916504,12.370392035177538,12.937607151406405,11.80317691894867,,0.0,-0.013631448511387978,-0.0,10877.028827093225,12785.549231688865
2011-12-20,12.418029139836094,12.779581069946287,12.285304267681704,12.844402667215844,11.726205868147565,,0.0,0.04969144213602972,0.0,10877.028827093225,13282.46365304916
2011-12-21,12.818961103640085,12.690091133117676,12.491545117924362,13.060006104844945,11.92308413100378,,0.0,-0.007002572020069153,-0.0,10877.028827093225,13212.43793284847
